1996;7;Federal Shipping;Centro comercial Moctezuma;México D.F.;Mexico;100,799999237061;11
1996;7;Federal Shipping;Ernst Handel;Graz;Austria;1873,79999542236;184
1996;7;Federal Shipping;HILARION-Abastos;San Cristóbal;Venezuela;1119,89993286133;46
1996;7;Federal Shipping;Rattlesnake Canyon Grocery;Albuquerque;USA;584,000011444092;29
1996;7;Federal Shipping;Richter Supermarkt;Genève;Switzerland;2490,5;110
1996;7;Federal Shipping;Vins et alcools Chevalier;Reims;France;440;27
1996;7;Federal Shipping;Wartian Herkku;Oulu;Finland;346,559997558594;12
1996;7;Speedy Express;Ernst Handel;Graz;Austria;1614,87999725342;121
1996;7;Speedy Express;Ottilies Käseladen;Köln;Germany;1504,65002441406;102
1996;7;Speedy Express;Toms Spezialitäten;Münster;Germany;1863,40000915527;49
1996;7;Speedy Express;Victuailles en stock;Lyon;France;654,059997558594;41
1996;7;United Package;Chop-suey Chinese;Bern;Switzerland;556,619998931885;57
1996;7;United Package;Hanari Carnes;Rio de Janeiro;Brazil;2997,39999389648;162
1996;7;United Package;Que Delícia;Rio de Janeiro;Brazil;448;40
1996;7;United Package;Suprêmes délices;Charleroi;Belgium;3597,90014648438;105
1996;7;United Package;Wellington Importadora;Resende;Brazil;517,799995422363;27
1996;8;Federal Shipping;B's Beverages;London;UK;479,400009155273;39
1996;8;Federal Shipping;Folk och fä HB;Bräcke;Sweden;695,625;60
1996;8;Federal Shipping;GROSELLA-Restaurante;Caracas;Venezuela;1101,19999694824;14
1996;8;Federal Shipping;LILA-Supermercado;Barquisimeto;Venezuela;1414,80000305176;76
1996;8;Federal Shipping;Morgenstern Gesundkost;Leipzig;Germany;1200,80001831055;32
1996;8;Federal Shipping;QUICK-Stop;Cunewalde;Germany;5053,2799987793;292
1996;8;Federal Shipping;Ricardo Adocicados;Rio de Janeiro;Brazil;818,999969482422;75
1996;8;Federal Shipping;Tortuga Restaurante;México D.F.;Mexico;420;25
1996;8;Speedy Express;Blondesddsl père et fils;Strasbourg;France;1176;50
1996;8;Speedy Express;Frankenversand;München;Germany;3536,59999084473;135
1996;8;Speedy Express;Lehmanns Marktstand;Frankfurt a.M.;Germany;1170,375;61
1996;8;Speedy Express;Magazzini Alimentari Riuniti;Bergamo;Italy;291,839984893799;18
1996;8;Speedy Express;Romero y tomillo;Madrid;Spain;241,900002479553;19
1996;8;Speedy Express;Vins et alcools Chevalier;Reims;France;538,599990844727;27
1996;8;Speedy Express;Wartian Herkku;Oulu;Finland;1376;55
1996;8;Speedy Express;White Clover Markets;Seattle;USA;642,200012207031;80
1996;8;United Package;Berglunds snabbköp;Luleå;Sweden;1488,79998779297;64
1996;8;United Package;Lehmanns Marktstand;Frankfurt a.M.;Germany;351,000030517578;15
1996;8;United Package;QUICK-Stop;Cunewalde;Germany;1743,36004638672;121
1996;8;United Package;Rattlesnake Canyon Grocery;Albuquerque;USA;1455,99996948242;70
1996;8;United Package;Split Rail Beer & Ale;Lander;USA;48;24
1996;9;Federal Shipping;Ana Trujillo Emparedados y helados;México D.F.;Mexico;88,7999992370605;6
1996;9;Federal Shipping;Du monde entier;Nantes;France;268,799987792969;13
1996;9;Federal Shipping;Romero y tomillo;Madrid;Spain;498,5;25
1996;9;Federal Shipping;Tortuga Restaurante;México D.F.;Mexico;848,699996948242;33
