1;Chai;Beverages;1996;8;777,599945068359;63
1;Chai;Beverages;1996;9;288;20
1;Chai;Beverages;1996;11;356,399978637695;27
1;Chai;Beverages;1996;12;183,599990844727;15
1;Chai;Beverages;1997;1;489,599975585938;34
1;Chai;Beverages;1997;3;216;15
1;Chai;Beverages;1997;4;576;40
1;Chai;Beverages;1997;5;122,400001525879;8
1;Chai;Beverages;1997;6;180;10
1;Chai;Beverages;1997;7;522;29
1;Chai;Beverages;1997;8;652,5;40
1;Chai;Beverages;1997;10;1084,5;70
1;Chai;Beverages;1997;11;1044;58
1;Chai;Beverages;1998;1;1206;84
1;Chai;Beverages;1998;2;1548;90
1;Chai;Beverages;1998;3;1188;81
1;Chai;Beverages;1998;4;1741,5;104
1;Chai;Beverages;1998;5;612;40
2;Chang;Beverages;1996;7;1444;105
2;Chang;Beverages;1996;9;608;40
2;Chang;Beverages;1996;10;680,959991455078;56
2;Chang;Beverages;1996;12;285;25
2;Chang;Beverages;1997;1;912;60
2;Chang;Beverages;1997;2;733,400024414063;55
2;Chang;Beverages;1997;3;790,399993896484;60
2;Chang;Beverages;1997;4;228;12
2;Chang;Beverages;1997;7;190;10
2;Chang;Beverages;1997;8;1871,5;100
2;Chang;Beverages;1997;10;579,5;38
2;Chang;Beverages;1997;11;228;15
2;Chang;Beverages;1997;12;1505,75;85
2;Chang;Beverages;1998;1;1127,64999389648;62
2;Chang;Beverages;1998;2;1059,25;61
2;Chang;Beverages;1998;3;161,5;10
2;Chang;Beverages;1998;4;2949,75;201
2;Chang;Beverages;1998;5;1001,29998779297;62
3;Aniseed Syrup;Condiments;1996;8;240;30
3;Aniseed Syrup;Condiments;1997;1;400;50
3;Aniseed Syrup;Condiments;1997;3;144;20
3;Aniseed Syrup;Condiments;1997;5;600;60
3;Aniseed Syrup;Condiments;1997;7;140;14
3;Aniseed Syrup;Condiments;1997;10;60;6
3;Aniseed Syrup;Condiments;1997;11;200;20
3;Aniseed Syrup;Condiments;1997;12;180;20
3;Aniseed Syrup;Condiments;1998;1;790;79
3;Aniseed Syrup;Condiments;1998;4;250;25
3;Aniseed Syrup;Condiments;1998;5;40;4
4;Chef Anton's Cajun Seasoning;Condiments;1996;9;352;20
4;Chef Anton's Cajun Seasoning;Condiments;1996;10;883,52001953125;52
4;Chef Anton's Cajun Seasoning;Condiments;1996;11;616;35
4;Chef Anton's Cajun Seasoning;Condiments;1997;3;225,279998779297;16
4;Chef Anton's Cajun Seasoning;Condiments;1997;4;935,000061035156;50
4;Chef Anton's Cajun Seasoning;Condiments;1997;5;2034,99993896484;100
4;Chef Anton's Cajun Seasoning;Condiments;1997;7;352;20
4;Chef Anton's Cajun Seasoning;Condiments;1997;8;748;35
4;Chef Anton's Cajun Seasoning;Condiments;1997;9;237,599990844727;12
4;Chef Anton's Cajun Seasoning;Condiments;1997;10;132;6
4;Chef Anton's Cajun Seasoning;Condiments;1997;11;550;25
4;Chef Anton's Cajun Seasoning;Condiments;1998;1;462;21
4;Chef Anton's Cajun Seasoning;Condiments;1998;2;495;30
4;Chef Anton's Cajun Seasoning;Condiments;1998;3;110;5
4;Chef Anton's Cajun Seasoning;Condiments;1998;4;412,5;25
4;Chef Anton's Cajun Seasoning;Condiments;1998;5;22;1
5;Chef Anton's Gumbo Mix;Condiments;1996;7;1047,20001220703;77
5;Chef Anton's Gumbo Mix;Condiments;1996;8;340;20
5;Chef Anton's Gumbo Mix;Condiments;1996;12;544;32
5;Chef Anton's Gumbo Mix;Condiments;1997;8;288,225006103516;15
5;Chef Anton's Gumbo Mix;Condiments;1997;10;85,4000015258789;4
